position,urn,included
1,http://urn.fi/URN:NBN:fi:amk-201204275370,yes
2,http://urn.fi/URN:NBN:fi:amk-2014121419682,yes
3,http://urn.fi/URN:NBN:fi:amk-201401191521,yes
4,http://urn.fi/URN:NBN:fi:amk-2011060310914,yes
5,http://urn.fi/URN:NBN:fi:amk-201304244916,yes
6,http://urn.fi/URN:NBN:fi:amk-201105106976,no
7,http://urn.fi/URN:NBN:fi:amk-2010113016272,yes
8,http://urn.fi/URN:NBN:fi:amk-2010121618446,yes
9,http://urn.fi/URN:NBN:fi:amk-2015121120353,no
10,http://urn.fi/URN:NBN:fi:amk-201105168150,yes
11,http://urn.fi/URN:NBN:fi:amk-201002242527,yes
12,http://urn.fi/URN:NBN:fi:amk-2014102114875,yes
13,http://urn.fi/URN:NBN:fi:amk-201004307363,yes
14,http://urn.fi/URN:NBN:fi:amk-2016061012678,yes
15,http://urn.fi/URN:NBN:fi:amk-201804235221,yes
16,http://urn.fi/URN:NBN:fi:amk-2013121821683,no
17,http://urn.fi/URN:NBN:fi:amk-2015112718264,yes
18,http://urn.fi/URN:NBN:fi:amk-201402062077,yes
19,http://urn.fi/URN:NBN:fi:amk-201505209224,yes
20,http://urn.fi/URN:NBN:fi:amk-201503263603,yes
21,http://urn.fi/URN:NBN:fi:amk-2015112517724,yes
22,http://urn.fi/URN:NBN:fi:amk-2015112617933,no
23,http://urn.fi/URN:NBN:fi:amk-2015112317241,no
24,http://urn.fi/URN:NBN:fi:amk-2015112317220,no
25,http://urn.fi/URN:NBN:fi:amk-2015111916863,no
26,http://urn.fi/URN:NBN:fi:amk-2015052811155,no
27,http://urn.fi/URN:NBN:fi:amk-2015120319317,no
28,http://urn.fi/URN:NBN:fi:amk-2012112015654,no
29,http://urn.fi/URN:NBN:fi:amk-201601131311,no
30,http://urn.fi/URN:NBN:fi:amk-2015121120336,no
31,http://urn.fi/URN:NBN:fi:amk-2015120419408,no
32,http://urn.fi/URN:NBN:fi:amk-2015120319160,no
33,http://urn.fi/URN:NBN:fi:amk-2015060111662,no
34,http://urn.fi/URN:NBN:fi:amk-2015060812825,no
35,http://urn.fi/URN:NBN:fi:amk-2015121120399,no
36,http://urn.fi/URN:NBN:fi:amk-201603092992,no
37,http://urn.fi/URN:NBN:fi:amk-2015121721237,no
38,http://urn.fi/URN:NBN:fi:amk-2015052610348,no
39,http://urn.fi/URN:NBN:fi:amk-2015060712703,no
40,http://urn.fi/URN:NBN:fi:amk-2011120517218,no
41,http://urn.fi/URN:NBN:fi:amk-201001061060,no
42,http://urn.fi/URN:NBN:fi:amk-201603313733,no
43,http://urn.fi/URN:NBN:fi:amk-200912016615,no
44,http://urn.fi/URN:NBN:fi:amk-201604124224,no
45,http://urn.fi/URN:NBN:fi:amk-2016101115074,no
46,http://urn.fi/URN:NBN:fi:amk-2015112618000,no
47,http://urn.fi/URN:NBN:fi:amk-2015121621050,no
48,http://urn.fi/URN:NBN:fi:amk-2015121821428,no
49,http://urn.fi/URN:NBN:fi:amk-2011060911643,no
50,http://urn.fi/URN:NBN:fi:amk-2017101115972,no
51,http://urn.fi/URN:NBN:fi:amk-2016122721500,no
52,http://urn.fi/URN:NBN:fi:amk-2011120216955,no
53,http://urn.fi/URN:NBN:fi:amk-2010100613479,no
54,http://urn.fi/URN:NBN:fi:amk-2016062113270,no
55,http://urn.fi/URN:NBN:fi:amk-2017061213272,no
56,http://urn.fi/URN:NBN:fi:amk-2016061613114,no
57,http://urn.fi/URN:NBN:fi:amk-2016090113946,no
58,http://urn.fi/URN:NBN:fi:amk-201602232545,no
59,http://urn.fi/URN:NBN:fi:amk-201603213406,no
60,http://urn.fi/URN:NBN:fi:amk-201605127373,no
61,http://urn.fi/URN:NBN:fi:amk-2016083113927,no
62,http://urn.fi/URN:NBN:fi:amk-201605239267,no
63,http://urn.fi/URN:NBN:fi:amk-2016090814107,no
64,http://urn.fi/URN:NBN:fi:amk-201605117196,no
65,http://urn.fi/URN:NBN:fi:amk-201605198629,no
66,http://urn.fi/URN:NBN:fi:amk-2012110214855,no
67,http://urn.fi/URN:NBN:fi:amk-201405076250,no
