position,urn,included
1,http://urn.fi/URN:NBN:fi:amk-201802021945,yes
2,http://urn.fi/URN:NBN:fi:amk-2015112317337,yes
3,http://urn.fi/URN:NBN:fi:amk-2012112416280,yes
4,http://urn.fi/URN:NBN:fi:amk-201202272567,yes
5,http://urn.fi/URN:NBN:fi:amk-201302252602,yes
6,http://urn.fi/URN:NBN:fi:amk-2013052811194,yes
7,http://urn.fi/URN:NBN:fi:amk-2012122020229,yes
8,http://urn.fi/URN:NBN:fi:amk-201204295473,yes
9,http://urn.fi/URN:NBN:fi:amk-201501271627,yes
10,http://urn.fi/URN:NBN:fi:amk-201702062034,yes
11,http://urn.fi/URN:NBN:fi:amk-200812294595,yes
12,http://urn.fi/URN:NBN:fi:amk-201604285459,no
13,http://urn.fi/URN:NBN:fi:amk-201605157850,yes
14,http://urn.fi/URN:NBN:fi:amk-201801221512,yes
15,http://urn.fi/URN:NBN:fi:amk-201205076691,yes
16,http://urn.fi/URN:NBN:fi:amk-201402192434,yes
17,http://urn.fi/URN:NBN:fi:amk-201205076557,no
18,http://urn.fi/URN:NBN:fi:amk-2014121720158,no
19,http://urn.fi/URN:NBN:fi:amk-2015060512622,no
20,http://urn.fi/URN:NBN:fi:amk-2010112415435,no
21,http://urn.fi/URN:NBN:fi:amk-201105137815,yes
22,http://urn.fi/URN:NBN:fi:amk-201302232541,yes
23,http://urn.fi/URN:NBN:fi:amk-2014112917472,no
24,http://urn.fi/URN:NBN:fi:amk-201602282719,no
25,http://urn.fi/URN:NBN:fi:amk-2013123122169,no
26,http://urn.fi/URN:NBN:fi:amk-201105259692,no
27,http://urn.fi/URN:NBN:fi:amk-201304234884,no
28,http://urn.fi/URN:NBN:fi:amk-201105025476,yes
29,http://urn.fi/URN:NBN:fi:amk-201702262713,no
30,http://urn.fi/URN:NBN:fi:amk-201804044074,no
31,http://urn.fi/URN:NBN:fi:amk-2012120418338,yes
32,http://urn.fi/URN:NBN:fi:amk-2010052710766,yes
33,http://urn.fi/URN:NBN:fi:amk-2017112017464,yes
34,http://urn.fi/URN:NBN:fi:amk-201203093161,no
35,http://urn.fi/URN:NBN:fi:amk-201204305537,no
36,http://urn.fi/URN:NBN:fi:amk-2014052710243,no
37,http://urn.fi/URN:NBN:fi:amk-2014120318250,no
38,http://urn.fi/URN:NBN:fi:amk-201502092041,no
39,http://urn.fi/URN:NBN:fi:amk-201503313749,no
40,http://urn.fi/URN:NBN:fi:amk-201505066297,no
41,http://urn.fi/URN:NBN:fi:amk-201505127660,no
42,http://urn.fi/URN:NBN:fi:amk-200909284710,no
43,http://urn.fi/URN:NBN:fi:amk-2010112415266,no
44,http://urn.fi/URN:NBN:fi:amk-2010062112434,no
45,http://urn.fi/URN:NBN:fi:amk-2017092615417,no
46,http://urn.fi/URN:NBN:fi:amk-2015112718194,no
47,http://urn.fi/URN:NBN:fi:amk-201401091138,no
48,http://urn.fi/URN:NBN:fi:amk-201604154422,no
49,http://urn.fi/URN:NBN:fi:amk-201604265114,no
50,http://urn.fi/URN:NBN:fi:amk-201204255068,no
51,http://urn.fi/URN:NBN:fi:amk-201404063924,no
52,http://urn.fi/URN:NBN:fi:amk-201204024009,no
53,http://urn.fi/URN:NBN:fi:amk-201101111193,no
54,http://urn.fi/URN:NBN:fi:amk-200906033632,yes
55,http://urn.fi/URN:NBN:fi:amk-201104275024,no
56,http://urn.fi/URN:NBN:fi:amk-201205087040,no
57,http://urn.fi/URN:NBN:fi:amk-2017121321106,no
58,http://urn.fi/URN:NBN:fi:amk-2017120619981,no
59,http://urn.fi/URN:NBN:fi:amk-2010111814669,no
60,http://urn.fi/URN:NBN:fi:amk-201305025965,no
61,http://urn.fi/URN:NBN:fi:jamk-1234859925-2,yes
62,http://urn.fi/URN:NBN:fi:amk-201104144270,no
63,http://urn.fi/URN:NBN:fi:amk-201804034064,yes
64,http://urn.fi/URN:NBN:fi:amk-201503163246,no
65,http://urn.fi/URN:NBN:fi:amk-201704245256,no
