level,institution,count
amk,Centria ammattikorkeakoulu (Keski-Pohjanmaan ammattikorkeakoulu),1
amk,Diakonia-ammattikorkeakoulu,4
yamk,Diakonia-ammattikorkeakoulu,2
AMK-opinnäytetyö,Jyväskylän ammattikorkeakoulu,1
yamk,Kemi-Tornion ammattikorkeakoulu,2
amk,Kymenlaakson ammattikorkeakoulu,1
yamk,Kymenlaakson ammattikorkeakoulu,1
yamk,Laurea-ammattikorkeakoulu,2
amk,Metropolia Ammattikorkeakoulu,2
yamk,Metropolia Ammattikorkeakoulu,2
amk,Satakunnan ammattikorkeakoulu,1
yamk,Satakunnan ammattikorkeakoulu,2
amk,Tampereen ammattikorkeakoulu,1
yamk,Tampereen ammattikorkeakoulu,1
amk,Turun ammattikorkeakoulu,1
